n,observable,IBM default,Q-CTRL,QESEM
80,Z47Z48,0.0516067451479478,0.0494,
80,Z48Z49,0.0637820312987094,0.0642,
80,Z49Z50,0.0504347826086956,0.0776,
80,Z4Z5,0.1261515322429027,0.1176,
80,Z50Z51,0.0427350427350426,0.0726,
80,Z51Z52,0.0436884179215467,0.0649999999999999,
80,Z52Z53,0.0616945776006973,0.0442,
80,Z53Z54,0.0492521434382626,0.0659999999999999,
80,Z54Z55,0.033567134268537,0.2241999999999999,
80,Z55Z56,0.0086206896551723,0.243,
80,Z56Z57,0.0094083475405695,0.0951999999999999,
80,Z57Z58,0.021292491595069,0.0557999999999999,
80,Z58Z59,0.0527760449157829,0.0709999999999999,
80,Z59Z60,0.0455179409154304,0.0842,
80,Z5Z6,0.1089418684688067,0.1146,
80,Z60Z61,0.027867298578199,0.0353999999999999,
80,Z61Z62,0.0439254073477479,0.043,
80,Z62Z63,0.0424401525095318,0.0375999999999999,
80,Z63Z64,0.0270202808112324,0.0535999999999999,
80,Z64Z65,0.0206102618060283,0.048,
80,Z65Z66,0.0095238095238094,0.0627999999999999,
80,Z66Z67,0.0213640610401744,0.0692,
80,Z67Z68,0.0182702500467668,0.0585999999999999,
80,Z68Z69,0.0308918784255106,0.0348,
80,Z69Z70,0.0393436509416371,0.1473999999999999,
80,Z6Z7,0.1061176954168664,0.1281999999999999,
80,Z70Z71,0.0459720062208398,0.1068,
80,Z71Z72,0.0213427913633252,0.1024,
80,Z72Z73,0.0367509654914662,0.0742,
80,Z73Z74,0.0168124573484707,0.0555999999999999,
80,Z74Z75,0.0442698590846738,0.0292,
80,Z75Z76,0.025398626079284,0.0455999999999999,
80,Z76Z77,0.0080579673933411,0.0355999999999999,
80,Z77Z78,0.0120765467269461,0.0397999999999999,
80,Z78Z79,0.0183684828993753,0.0191999999999999,
80,Z7Z8,0.05160848733744,0.2952,
80,Z8Z9,0.0945945945945946,0.29,
80,Z9Z10,0.0730529792910684,0.1523999999999999,
