provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM TREX + twirling,d8sl6jlposuc738nfum0,17.324909417,usage_estimation.quantum_seconds,100,MZ_probe,-0.006807922936049913,0.00871646603729363,1.737938222280517e-14,0.006807922936067292
IBM TREX + twirling,d8sl6jlposuc738nfum0,17.324909417,usage_estimation.quantum_seconds,100,MX_probe,0.6577970450179831,0.003071278745646776,0.6976613207235712,0.03986427570558815
IBM TREX + twirling,d8sl6jlposuc738nfum0,17.324909417,usage_estimation.quantum_seconds,100,ZZ_probe,0.4678316462647678,0.0032452141607510914,0.49792324722138603,0.030091600956618225
Q-CTRL,e78d8b74-4a29-40e7-ad19-d2a4993e6464,,unavailable,100,MZ_probe,0.025624999999999995,0.3531571259722788,1.737938222280517e-14,0.025624999999982617
Q-CTRL,e78d8b74-4a29-40e7-ad19-d2a4993e6464,,unavailable,100,MX_probe,0.6890499999999999,0.25527117688842194,0.6976613207235712,0.008611320723571292
Q-CTRL,e78d8b74-4a29-40e7-ad19-d2a4993e6464,,unavailable,100,ZZ_probe,0.470275,0.3118289966071148,0.49792324722138603,0.027648247221386035
QESEM,6e591dc1-f7ab-427b-a8d9-cc674d71e008,,unavailable,100,MZ_probe,3.994039799470754e-05,0.002652674923503409,1.737938222280517e-14,3.9940397977328156e-05
QESEM,6e591dc1-f7ab-427b-a8d9-cc674d71e008,,unavailable,100,MX_probe,0.6979871031019318,0.011262675313943808,0.6976613207235712,0.0003257823783605618
QESEM,6e591dc1-f7ab-427b-a8d9-cc674d71e008,,unavailable,100,ZZ_probe,0.4876452139552779,0.009073044184856422,0.49792324722138603,0.010278033266108155
IBM raw,d8t1ahlposuc738o14dg,12.365719463,usage_estimation.quantum_seconds,120,MZ_probe,-0.053774999999999996,0.0035261481374865692,1.0375925783512488e-13,0.053775000000103754
IBM raw,d8t1ahlposuc738o14dg,12.365719463,usage_estimation.quantum_seconds,120,MX_probe,0.6535,0.0026668109700539334,0.6976613207401708,0.04416132074017087
IBM raw,d8t1ahlposuc738o14dg,12.365719463,usage_estimation.quantum_seconds,120,ZZ_probe,0.44657500000000006,0.0031438211920368497,0.49792324720473036,0.0513482472047303
IBM TREX + twirling,d8t25u5posuc738o2ehg,16.0,metrics.usage.quantum_seconds,120,MZ_probe,-0.0008570831411076614,0.005224776948922185,1.0375925783512488e-13,0.0008570831412114206
